Case_ID, Slide_ID, mae, mse, ssim, anomaly
FCB159, 1, 0.04476584121584892, 0.011856508441269398, 0.7889443039894104, 0.05844415958980933
FCB159, 2, 0.04704103618860245, 0.012779117561876774, 0.7868108749389648, 0.058524274955936546
FCB159, 3, 0.04485444352030754, 0.011487339623272419, 0.7959353923797607, 0.057442717513219034
FCB159, 4, 0.04338051378726959, 0.010918715968728065, 0.7987481951713562, 0.05511937189552956
FCB159, 5, 0.04347922280430794, 0.010882577858865261, 0.7915635108947754, 0.05307643005928537
FCB159, 6, 0.04175809025764465, 0.009954742155969143, 0.7905400395393372, 0.050112161512578114
FCB159, 7, 0.036928512156009674, 0.008211169391870499, 0.8006423711776733, 0.044063451369972764
FCB159, 8, 0.03549671545624733, 0.007559382356703281, 0.8071486353874207, 0.04153981733696523
FCB159, 9, 0.03524668887257576, 0.00748877227306366, 0.8152763247489929, 0.04618650857234417
FCB159, 10, 0.036570459604263306, 0.007910427637398243, 0.8109049797058105, 0.04698766223361641
FCB159, 11, 0.03718264773488045, 0.008109956979751587, 0.8097802400588989, 0.04758852747957058
FCB159, 12, 0.03693921118974686, 0.008026255294680595, 0.8082490563392639, 0.04670725845217113
FCB159, 13, 0.03666411340236664, 0.007994385436177254, 0.8129066228866577, 0.05223521871494953
FCB159, 14, 0.036597710102796555, 0.008140438236296177, 0.8124101758003235, 0.04650697003685307
FCB159, 15, 0.038599733263254166, 0.008982283994555473, 0.80328369140625, 0.04498477808043583
FCB159, 16, 0.037558939307928085, 0.008540468290448189, 0.8030431270599365, 0.048710142605351704
FCB159, 17, 0.040460649877786636, 0.009810302406549454, 0.8221549391746521, 0.045225124178817494
FCB159, 18, 0.04217934235930443, 0.010898562148213387, 0.8314260244369507, 0.04434385515141804
FCB159, 19, 0.042072147130966187, 0.010510201565921307, 0.8145637512207031, 0.0479891043102067
FCB159, 20, 0.038599643856287, 0.008795573376119137, 0.8046998381614685, 0.0431821823425733
FCB159, 21, 0.03736365586519241, 0.008348464965820312, 0.8088629841804504, 0.04586604710783528
FCB159, 22, 0.037392508238554, 0.008495274931192398, 0.8074465394020081, 0.048349623457779205
FCB159, 23, 0.04061764106154442, 0.009555728174746037, 0.8054341077804565, 0.050432622977087005
FCB159, 24, 0.041071515530347824, 0.00953577645123005, 0.8081073760986328, 0.05227527639801314
FCB159, 25, 0.04149717837572098, 0.009677032008767128, 0.8060136437416077, 0.049791700048069217
FCB159, 26, 0.04173674434423447, 0.009798536077141762, 0.804862916469574, 0.04891043102066976
FCB159, 27, 0.04414420574903488, 0.010533546097576618, 0.7983664274215698, 0.0479891043102067
FCB159, 28, 0.04901665821671486, 0.012429284863173962, 0.7900596261024475, 0.04722800833199808
FCB159, 29, 0.05090992525219917, 0.013235905207693577, 0.7880347967147827, 0.048349623457779205
FCB159, 30, 0.050108641386032104, 0.012711642310023308, 0.7891891598701477, 0.050873257490786736
FCB038, 1, 0.05842437967658043, 0.016562730073928833, 0.829797625541687, 0.05083319980772312
FCB038, 2, 0.06154569983482361, 0.017875323072075844, 0.8239070773124695, 0.0490306040698606
FCB038, 3, 0.06573473662137985, 0.019709382206201553, 0.8134399652481079, 0.05127383432142285
FCB038, 4, 0.0677972361445427, 0.02079574577510357, 0.8117842078208923, 0.060286813010735456
FCB038, 5, 0.06840340048074722, 0.02100137434899807, 0.8084383010864258, 0.05367729530523954
FCB038, 6, 0.07075914740562439, 0.02235781028866768, 0.8015449047088623, 0.0500721038295145
FCB038, 7, 0.07100385427474976, 0.022328298538923264, 0.7929486036300659, 0.05159429578593174
FCB038, 8, 0.06975945085287094, 0.02153744362294674, 0.7954374551773071, 0.052155103348822306
FCB038, 9, 0.07124654203653336, 0.022390268743038177, 0.8009158968925476, 0.05816375580836405
FCB038, 10, 0.07330194860696793, 0.023699063807725906, 0.8023558259010315, 0.053757410671366766
FCB038, 11, 0.07407945394515991, 0.024193035438656807, 0.8020249605178833, 0.05672167921807403
FCB038, 12, 0.07612629979848862, 0.025161342695355415, 0.8021066784858704, 0.053877583720557606
