Case_ID, Slide_ID, mae, mse, ssim
image_99, 1, 0.039547476917505264, 0.004937614314258099, 0.9996317625045776
image_99, 2, 0.0925540179014206, 0.013282662257552147, 1.998985767364502
image_99, 3, 0.1522066295146942, 0.023400211706757545, 2.997969388961792
image_99, 4, 0.2170027792453766, 0.03535356745123863, 3.9966518878936768
image_99, 5, 0.27603355050086975, 0.04568154364824295, 4.995657920837402
image_99, 6, 0.3337990939617157, 0.05563459172844887, 5.99471378326416
image_99, 7, 0.3904463052749634, 0.0650443434715271, 6.993823051452637
image_99, 8, 0.45038744807243347, 0.0753445252776146, 7.9927568435668945
image_99, 9, 0.512351930141449, 0.08646123856306076, 8.991539001464844
image_99, 10, 0.569292426109314, 0.09588223695755005, 9.990575790405273
image_99, 11, 0.6264089345932007, 0.10529711842536926, 10.989572525024414
image_99, 12, 0.6753645539283752, 0.11255159229040146, 11.988936424255371
image_99, 13, 0.7425438165664673, 0.12551157176494598, 12.987438201904297
image_99, 14, 0.803822934627533, 0.1362084001302719, 13.9862642288208
image_99, 15, 0.8844102621078491, 0.15408897399902344, 14.983908653259277
image_99, 16, 0.9341108202934265, 0.16071973741054535, 15.983099937438965
image_99, 17, 0.9732573628425598, 0.16507259011268616, 16.982685089111328
image_99, 18, 1.0243746042251587, 0.17195576429367065, 17.981813430786133
image_99, 19, 1.0743111371994019, 0.1785782426595688, 18.98097038269043
image_99, 20, 1.1043856143951416, 0.1815459132194519, 19.980783462524414
image_99, 21, 1.1350200176239014, 0.18446733057498932, 20.980592727661133
image_99, 22, 1.1650516986846924, 0.1872277557849884, 21.980411529541016
image_99, 23, 1.1987252235412598, 0.1903010904788971, 22.98013687133789
image_99, 24, 1.2333649396896362, 0.1935664564371109, 23.979827880859375
image_99, 25, 1.2653838396072388, 0.19660411775112152, 24.979595184326172
image_99, 26, 1.29843008518219, 0.19979336857795715, 25.979337692260742
image_99, 27, 1.3305573463439941, 0.20286957919597626, 26.979124069213867
image_99, 28, 1.3649649620056152, 0.20640717446804047, 27.978845596313477
image_99, 29, 1.4010366201400757, 0.21032629907131195, 28.9785099029541
image_99, 30, 1.4402165412902832, 0.21496480703353882, 29.97807502746582
image_77, 1, 0.0636577159166336, 0.012043728493154049, 0.9987236261367798
image_77, 2, 0.12063919007778168, 0.02183040790259838, 1.997778058052063
image_77, 3, 0.1637534499168396, 0.027816085144877434, 2.9974045753479004
image_77, 4, 0.20877765119075775, 0.03412865102291107, 3.99692964553833
image_77, 5, 0.25692814588546753, 0.041138969361782074, 4.9963226318359375
image_77, 6, 0.30561563372612, 0.04834583029150963, 5.995691776275635
image_77, 7, 0.35141515731811523, 0.054855428636074066, 6.995202541351318
image_77, 8, 0.39279043674468994, 0.06044652685523033, 7.9948930740356445
image_77, 9, 0.43431100249290466, 0.06599314510822296, 8.99457836151123
image_77, 10, 0.4750068485736847, 0.07136324048042297, 9.994266510009766
image_77, 11, 0.5148019194602966, 0.07662689685821533, 10.9939603805542
image_77, 12, 0.5556459426879883, 0.08204151690006256, 11.993633270263672
image_77, 13, 0.5999346971511841, 0.08811398595571518, 12.99319839477539
image_77, 14, 0.6529884338378906, 0.09649333357810974, 13.992401123046875
image_77, 15, 0.7053804993629456, 0.1046343743801117, 14.991633415222168
image_77, 16, 0.7491565346717834, 0.11037866771221161, 15.991219520568848
image_77, 17, 0.7904704213142395, 0.11559118330478668, 16.990840911865234
image_77, 18, 0.8287147879600525, 0.12027905881404877, 17.990524291992188
image_77, 19, 0.8632090091705322, 0.12389975041151047, 18.990222930908203
image_77, 20, 0.8910079598426819, 0.12615595757961273, 19.99008560180664
image_77, 21, 0.9181452989578247, 0.12830959260463715, 20.989953994750977
image_77, 22, 0.9447284936904907, 0.1303766667842865, 21.989831924438477
image_77, 23, 0.972499430179596, 0.1325819045305252, 22.98969268798828
image_77, 24, 1.0010322332382202, 0.13494756817817688, 23.989561080932617
image_77, 25, 1.0303422212600708, 0.1374862790107727, 24.989410400390625
image_77, 26, 1.0592737197875977, 0.13997413218021393, 25.9892578125
image_77, 27, 1.0871657133102417, 0.14220449328422546, 26.989126205444336
image_77, 28, 1.1149444580078125, 0.14443734288215637, 27.988994598388672
image_77, 29, 1.1438270807266235, 0.14683616161346436, 28.98884391784668
image_77, 30, 1.1733824014663696, 0.1494031697511673, 29.988685607910156
image_150, 1, 0.0701284408569336, 0.015489424578845501, 0.9987825155258179
image_150, 2, 0.13629844784736633, 0.029971309006214142, 1.997786045074463
image_150, 3, 0.20228761434555054, 0.0442226380109787, 2.996851921081543
image_150, 4, 0.2679547071456909, 0.058232419192790985, 3.99595046043396
