Case_ID, Slide_ID, mae, mse, ssim, anomaly
FCB159, 1, 0.12750142812728882, 0.07476577162742615, 0.5575302243232727, 0.040021260672574666
FCB159, 2, 0.12495192140340805, 0.07218579947948456, 0.5599702596664429, 0.0389517390515419
FCB159, 3, 0.14042705297470093, 0.09169593453407288, 0.5342332124710083, 0.04984004345214865
FCB159, 4, 0.13579286634922028, 0.08396346867084503, 0.5560095906257629, 0.05109778913946908
FCB159, 5, 0.15077058970928192, 0.10092124342918396, 0.5073801279067993, 0.054285144265174785
FCB159, 6, 0.14877238869667053, 0.10020556300878525, 0.5208560228347778, 0.05441274137903003
FCB159, 7, 0.12979404628276825, 0.08152275532484055, 0.5738816261291504, 0.03685363673625093
FCB159, 8, 0.14316338300704956, 0.09659311920404434, 0.5235207676887512, 0.048222434735875896
FCB159, 9, 0.1334490180015564, 0.08216610550880432, 0.5549442172050476, 0.03895732599003508
FCB159, 10, 0.149335116147995, 0.10740335285663605, 0.5233396291732788, 0.048762065434433476
FCB159, 11, 0.14388155937194824, 0.09979817271232605, 0.5439862608909607, 0.05153743048139441
FCB159, 12, 0.125298872590065, 0.07616152614355087, 0.6177601218223572, 0.040233125860969034
FCB159, 13, 0.1446380466222763, 0.10100868344306946, 0.5429765582084656, 0.04906302504289515
FCB159, 14, 0.12640926241874695, 0.07702098786830902, 0.5694946050643921, 0.038323185514071725
FCB159, 15, 0.12220458686351776, 0.0716317817568779, 0.5938787460327148, 0.03787818538527771
FCB159, 16, 0.14135855436325073, 0.09724974632263184, 0.5424721837043762, 0.053022112350059755
FCB159, 17, 0.1331721544265747, 0.08610299229621887, 0.5480866432189941, 0.052206221472018165
FCB159, 18, 0.11734244227409363, 0.06737067550420761, 0.5730898976325989, 0.03781130175506774
FCB159, 19, 0.12041465938091278, 0.07310374826192856, 0.5802610516548157, 0.04088218995364154
FCB159, 20, 0.1354006975889206, 0.09131383150815964, 0.5585787296295166, 0.05307979363867221
FCB159, 21, 0.12450794130563736, 0.07700657099485397, 0.5572559237480164, 0.045455352277353485
FCB159, 22, 0.12410006672143936, 0.07660708576440811, 0.5595526695251465, 0.03956467127114013
FCB159, 23, 0.12918753921985626, 0.08324072510004044, 0.5694739818572998, 0.0432116809536024
FCB159, 24, 0.13973277807235718, 0.09607572108507156, 0.5365874171257019, 0.051790933724829034
FCB159, 25, 0.11617933213710785, 0.07048585265874863, 0.6104499101638794, 0.041399989110252125
FCB159, 26, 0.12792962789535522, 0.08292017877101898, 0.5712710022926331, 0.04626967651022599
FCB159, 27, 0.11278641223907471, 0.06674163788557053, 0.609362781047821, 0.035026095919436916
FCB159, 28, 0.09974924474954605, 0.0584121011197567, 0.606338620185852, 0.027871839124530957
FCB159, 29, 0.09651704132556915, 0.052991051226854324, 0.6466733813285828, 0.02567719960308147
FCB159, 30, 0.0956440418958664, 0.05374995991587639, 0.646314799785614, 0.02270589573709287
FCB038, 1, 0.13871535658836365, 0.09695819020271301, 0.5781026482582092, 0.045174236224694735
FCB038, 2, 0.1400139480829239, 0.09775082767009735, 0.5896317958831787, 0.043758165353439384
FCB038, 3, 0.12617728114128113, 0.08130677044391632, 0.6100561022758484, 0.040846541302116554
FCB038, 4, 0.14481060206890106, 0.10529683530330658, 0.5667234659194946, 0.043065407644312444
FCB038, 5, 0.12803779542446136, 0.08225187659263611, 0.6116369962692261, 0.03791091184304847
FCB038, 6, 0.13971944153308868, 0.09598534554243088, 0.5772883892059326, 0.041090922575927835
FCB038, 7, 0.11199498176574707, 0.06698912382125854, 0.6204043626785278, 0.030754446363258768
FCB038, 8, 0.13485479354858398, 0.08970994502305984, 0.5794933438301086, 0.0396474834381366
FCB038, 9, 0.12876379489898682, 0.0842999666929245, 0.6049438714981079, 0.03772732160021707
FCB038, 10, 0.14863191545009613, 0.10612688213586807, 0.5724480152130127, 0.04759195392444442
FCB038, 11, 0.14348280429840088, 0.1009015291929245, 0.5613224506378174, 0.04695590915494577
FCB038, 12, 0.13150419294834137, 0.08586817979812622, 0.6013340353965759, 0.0421437532631529
FCB038, 13, 0.12037491798400879, 0.07692234218120575, 0.6299393773078918, 0.03300056022073711
FCB038, 14, 0.14090363681316376, 0.0980493426322937, 0.5732945799827576, 0.04562158717221697
FCB038, 15, 0.12291166186332703, 0.07905686646699905, 0.6193883419036865, 0.04018239113331298
FCB038, 16, 0.12064839154481888, 0.07727900892496109, 0.6293756365776062, 0.03981404701955129
FCB038, 17, 0.11606313288211823, 0.07306832820177078, 0.6403340697288513, 0.0319345283935348
FCB038, 18, 0.15192219614982605, 0.11055059731006622, 0.557127058506012, 0.04979487606295283
