Case_ID, Slide_ID, mae, mse, ssim
image_99, 1, 0.0814204290509224, 0.026220422238111496, 0.9976066946983337
image_99, 2, 0.1479172557592392, 0.04376772791147232, 1.9962410926818848
image_99, 3, 0.2260572910308838, 0.06726398319005966, 2.9942522048950195
image_99, 4, 0.3103576898574829, 0.09400225430727005, 3.9917123317718506
image_99, 5, 0.39422446489334106, 0.1203535944223404, 4.989099979400635
image_99, 6, 0.4782388210296631, 0.14691317081451416, 5.986423015594482
image_99, 7, 0.5642157793045044, 0.17494869232177734, 6.9834771156311035
image_99, 8, 0.6486603021621704, 0.20250219106674194, 7.980618476867676
image_99, 9, 0.678786039352417, 0.20571108162403107, 8.980401992797852
image_99, 10, 0.706389307975769, 0.20861856639385223, 9.980245590209961
image_99, 11, 0.73414146900177, 0.21163566410541534, 10.980073928833008
image_99, 12, 0.7621135115623474, 0.2150028496980667, 11.97988510131836
image_99, 13, 0.7911193370819092, 0.21859577298164368, 12.979655265808105
image_99, 14, 0.8217651844024658, 0.2224915623664856, 13.979432106018066
image_99, 15, 0.8569900989532471, 0.2273923009634018, 14.9791259765625
image_99, 16, 0.9377584457397461, 0.2532099187374115, 15.976823806762695
image_99, 17, 1.0179858207702637, 0.27868226170539856, 16.974689483642578
image_99, 18, 1.1001523733139038, 0.30539801716804504, 17.972475051879883
image_99, 19, 1.1816848516464233, 0.3312363922595978, 18.970460891723633
image_99, 20, 1.2647019624710083, 0.35818466544151306, 19.968181610107422
image_99, 21, 1.3405015468597412, 0.3809314966201782, 20.966358184814453
image_99, 22, 1.4117109775543213, 0.4005468785762787, 21.964921951293945
image_99, 23, 1.4850234985351562, 0.4208548665046692, 22.96343231201172
image_99, 24, 1.520902395248413, 0.426043838262558, 23.96312141418457
image_99, 25, 1.5586987733840942, 0.43094080686569214, 24.96261978149414
image_99, 26, 1.587931752204895, 0.43456676602363586, 25.962379455566406
image_99, 27, 1.6696112155914307, 0.45901376008987427, 26.960145950317383
image_99, 28, 1.7506327629089355, 0.48314303159713745, 27.957950592041016
image_99, 29, 1.8360443115234375, 0.5102649331092834, 28.955350875854492
image_99, 30, 1.9172942638397217, 0.5346643924713135, 29.953163146972656
image_77, 1, 0.09782177954912186, 0.0355953611433506, 0.9958646297454834
image_77, 2, 0.18834128975868225, 0.06634636223316193, 1.9925644397735596
image_77, 3, 0.2755899727344513, 0.09534799307584763, 2.9895124435424805
image_77, 4, 0.3241591155529022, 0.10400641709566116, 3.988413095474243
image_77, 5, 0.36377090215682983, 0.1110241487622261, 4.987612724304199
image_77, 6, 0.4606495499610901, 0.1452060341835022, 5.983706474304199
image_77, 7, 0.5426842570304871, 0.1710851639509201, 6.981070518493652
image_77, 8, 0.6259995698928833, 0.1971033215522766, 7.978407382965088
image_77, 9, 0.7248589992523193, 0.23185019195079803, 8.974445343017578
image_77, 10, 0.7678918838500977, 0.23979398608207703, 9.973526000976562
image_77, 11, 0.80999356508255, 0.24978101253509521, 10.972403526306152
image_77, 12, 0.8582562208175659, 0.26175937056541443, 11.971004486083984
image_77, 13, 0.9037913084030151, 0.2728167772293091, 12.96972370147705
image_77, 14, 0.9435518980026245, 0.2814449369907379, 13.968779563903809
image_77, 15, 0.9870781302452087, 0.289163738489151, 14.96786117553711
image_77, 16, 1.027510404586792, 0.2965233027935028, 15.967069625854492
image_77, 17, 1.1431519985198975, 0.33538711071014404, 16.96071434020996
image_77, 18, 1.2642781734466553, 0.37816938757896423, 17.953659057617188
image_77, 19, 1.3928076028823853, 0.4279501736164093, 18.945556640625
image_77, 20, 1.5268020629882812, 0.4895584285259247, 19.935983657836914
image_77, 21, 1.658968210220337, 0.5435335636138916, 20.927207946777344
image_77, 22, 1.7901043891906738, 0.596010684967041, 21.918739318847656
image_77, 23, 1.9212632179260254, 0.6478074789047241, 22.910472869873047
image_77, 24, 2.0690536499023438, 0.7259246706962585, 23.899127960205078
image_77, 25, 2.195617198944092, 0.7728667259216309, 24.89140510559082
image_77, 26, 2.227674722671509, 0.7789365649223328, 25.890827178955078
image_77, 27, 2.259434700012207, 0.7846484780311584, 26.89030647277832
image_77, 28, 2.336658477783203, 0.8068000674247742, 27.88817596435547
image_77, 29, 2.407672166824341, 0.8253892064094543, 28.886600494384766
image_77, 30, 2.4793405532836914, 0.8442047238349915, 29.884841918945312
image_150, 1, 0.0818341001868248, 0.026054879650473595, 0.9980359673500061
image_150, 2, 0.16161984205245972, 0.050631601363420486, 1.9962193965911865
image_150, 3, 0.23709459602832794, 0.07276789098978043, 2.994719982147217
image_150, 4, 0.31764107942581177, 0.09768150746822357, 3.9926602840423584
image_150, 5, 0.3922658860683441, 0.11960798501968384, 4.991019248962402
image_150, 6, 0.4684716463088989, 0.1426185965538025, 5.989330291748047
image_150, 7, 0.5452624559402466, 0.16587837040424347, 6.987804412841797
image_150, 8, 0.6228380799293518, 0.18995401263237, 7.986207485198975
image_150, 9, 0.7020957469940186, 0.2150251418352127, 8.984500885009766
image_150, 10, 0.7786199450492859, 0.23889580368995667, 9.982819557189941
image_150, 11, 0.8588331937789917, 0.26448267698287964, 10.981042861938477
image_150, 12, 0.895636796951294, 0.27008041739463806, 11.980711936950684
image_150, 13, 0.9699144959449768, 0.2921062111854553, 12.979085922241211
image_150, 14, 1.0056096315383911, 0.2971506416797638, 13.978759765625
image_150, 15, 1.0433310270309448, 0.30279961228370667, 14.978379249572754
image_150, 16, 1.0787278413772583, 0.3078498840332031, 15.978062629699707
image_150, 17, 1.1156357526779175, 0.3131522536277771, 16.97770881652832
image_150, 18, 1.1510971784591675, 0.3180182874202728, 17.977407455444336
image_150, 19, 1.1879777908325195, 0.323278546333313, 18.97707748413086
image_150, 20, 1.2238490581512451, 0.32833510637283325, 19.97676658630371
image_150, 21, 1.2580170631408691, 0.3330059349536896, 20.976476669311523
image_150, 22, 1.2904332876205444, 0.3369760513305664, 21.97622299194336
image_150, 23, 1.3258038759231567, 0.3418211042881012, 22.975915908813477
image_150, 24, 1.3624143600463867, 0.3471662104129791, 23.975566864013672
image_150, 25, 1.4033520221710205, 0.3539755046367645, 24.975187301635742
image_150, 26, 1.4806861877441406, 0.3773512840270996, 25.97344398498535
image_150, 27, 1.557694673538208, 0.400298535823822, 26.97185707092285
image_150, 28, 1.636089563369751, 0.4240490794181824, 27.970125198364258
image_150, 29, 1.6733077764511108, 0.4295809268951416, 28.969816207885742
image_150, 30, 1.75173020362854, 0.4536152184009552, 29.967975616455078
image_26, 1, 0.0802299827337265, 0.023552296683192253, 0.9980551600456238
image_26, 2, 0.15497353672981262, 0.04427425563335419, 1.996486783027649
image_26, 3, 0.23292756080627441, 0.06654191017150879, 2.994673490524292
image_26, 4, 0.3142894506454468, 0.0905122458934784, 3.992523193359375
image_26, 5, 0.3918837308883667, 0.11226179450750351, 4.990609169006348
image_26, 6, 0.4652501046657562, 0.13165900111198425, 5.988893985748291
image_26, 7, 0.5383419990539551, 0.1504760980606079, 6.9871978759765625
image_26, 8, 0.6109204888343811, 0.1688804179430008, 7.985567092895508
image_26, 9, 0.6847329139709473, 0.1877710223197937, 8.98388671875
image_26, 10, 0.7494701743125916, 0.20293034613132477, 9.982662200927734
image_26, 11, 0.7861021757125854, 0.2084747850894928, 10.982006072998047
image_26, 12, 0.8269789218902588, 0.21516616642475128, 11.98119068145752
image_26, 13, 0.8820196986198425, 0.22565007209777832, 12.979827880859375
image_26, 14, 0.9409602284431458, 0.23779365420341492, 13.978238105773926
image_26, 15, 1.0118039846420288, 0.25580263137817383, 14.976585388183594
image_26, 16, 1.0767173767089844, 0.27071425318717957, 15.975257873535156
image_26, 17, 1.1489887237548828, 0.2886376976966858, 16.973772048950195
