Case_ID, Slide_ID, mae, mse, ssim, anomaly
5266205, 1, 0.03780408948659897, 0.008182533085346222, 0.828222930431366, 0.05804358275917321
5266205, 2, 0.03762209042906761, 0.00812437478452921, 0.8267973065376282, 0.049631469315814775
5266205, 3, 0.03892618045210838, 0.008533128537237644, 0.8296526670455933, 0.05556000640922929
5266205, 4, 0.041869863867759705, 0.009633377194404602, 0.8272020816802979, 0.052996314693158145
5266205, 5, 0.04328567907214165, 0.010200041346251965, 0.8180466294288635, 0.05115366127223201
5266205, 6, 0.04413694143295288, 0.01046956330537796, 0.8108029365539551, 0.05115366127223201
5266205, 7, 0.04666930437088013, 0.011300782673060894, 0.8066835403442383, 0.04850985419003365
5266205, 8, 0.050476424396038055, 0.013101602904498577, 0.7945085167884827, 0.048229450408588365
5266205, 9, 0.053074657917022705, 0.014316165819764137, 0.7837911248207092, 0.051353949687550075
5266205, 10, 0.05325232446193695, 0.014563985168933868, 0.7836074233055115, 0.05095337285691395
5266205, 11, 0.05437090992927551, 0.014863197691738605, 0.7795307040214539, 0.04935106553436949
5266205, 12, 0.0570824034512043, 0.016427334398031235, 0.781391978263855, 0.04967152699887838
5266205, 13, 0.061379097402095795, 0.01959819160401821, 0.7729972004890442, 0.049190834802115044
5266205, 14, 0.06586673110723495, 0.02243669517338276, 0.7727318406105042, 0.05127383432142285
5266205, 15, 0.06797771900892258, 0.023959292098879814, 0.7551964521408081, 0.04943118090049672
5266205, 16, 0.06943101435899734, 0.024717677384614944, 0.7536057233810425, 0.04778881589488864
5266205, 17, 0.0747390165925026, 0.027514474466443062, 0.7410301566123962, 0.0490306040698606
5266205, 18, 0.06866217404603958, 0.023716570809483528, 0.7569065690040588, 0.047868931261015865
5266205, 19, 0.0639142319560051, 0.02006116881966591, 0.7717617154121399, 0.04746835443037975
5266205, 20, 0.0689941868185997, 0.022942202165722847, 0.7598063349723816, 0.04322224002563692
5266205, 21, 0.07430427521467209, 0.02811548300087452, 0.7395765781402588, 0.04766864284569781
5266205, 22, 0.07400275766849518, 0.028356432914733887, 0.7427845597267151, 0.05099343053997757
5266205, 23, 0.07110045850276947, 0.026773303747177124, 0.7320706844329834, 0.04810927735939753
5266205, 24, 0.071928970515728, 0.027056202292442322, 0.7525999546051025, 0.05243550713026759
5266205, 25, 0.06550979614257812, 0.022639364004135132, 0.7637694478034973, 0.055039256529402336
5266205, 26, 0.07076644152402878, 0.02508947253227234, 0.7466607689857483, 0.05115366127223201
5266205, 27, 0.06433537602424622, 0.021052179858088493, 0.7675397992134094, 0.050112161512578114
5266205, 28, 0.05808432027697563, 0.01705695502460003, 0.7796006798744202, 0.05143406505367729
5266205, 29, 0.05352658033370972, 0.014465316198766232, 0.786784291267395, 0.04494472039737222
5266205, 30, 0.05199829488992691, 0.013705603778362274, 0.7969276309013367, 0.051353949687550075
5110047, 1, 0.0330209918320179, 0.0066523002460598946, 0.8463412523269653, 0.05291619932703093
5110047, 2, 0.0338912270963192, 0.006796697620302439, 0.8481687903404236, 0.04810927735939753
5110047, 3, 0.036087874323129654, 0.007944629527628422, 0.8384473919868469, 0.05143406505367729
5110047, 4, 0.04040907323360443, 0.010641179047524929, 0.8338453769683838, 0.05307643005928537
5110047, 5, 0.03934093192219734, 0.009732987731695175, 0.8282530903816223, 0.054398333600384555
5110047, 6, 0.03703714534640312, 0.008513009175658226, 0.8312655091285706, 0.05271591091171287
5110047, 7, 0.04183582589030266, 0.01118594128638506, 0.8307493329048157, 0.05363723762217593
5110047, 8, 0.04407494142651558, 0.011756735853850842, 0.8267251253128052, 0.05688190995032847
5110047, 9, 0.043797146528959274, 0.01127766352146864, 0.8242664933204651, 0.05231533408107675
5110047, 10, 0.04130646213889122, 0.009875677525997162, 0.8261392712593079, 0.05463867969876622
5110047, 11, 0.04622260481119156, 0.011913016438484192, 0.8290195465087891, 0.05239544944720397
5110047, 12, 0.051545046269893646, 0.014665388502180576, 0.8128042817115784, 0.054398333600384555
5110047, 13, 0.050370052456855774, 0.013930672779679298, 0.8173246383666992, 0.049951930780323665
5110047, 14, 0.05284249037504196, 0.01637115515768528, 0.8152604699134827, 0.052996314693158145
5110047, 15, 0.05829811468720436, 0.019388554617762566, 0.796692430973053, 0.05527960262778401
5110047, 16, 0.061493583023548126, 0.020478470250964165, 0.7852665781974792, 0.055199487261656785
5110047, 17, 0.0674796849489212, 0.024023862555623055, 0.7546643614768982, 0.04670725845217113
5110047, 18, 0.056056175380945206, 0.018040871247649193, 0.7888506650924683, 0.04758852747957058
5110047, 19, 0.04903506487607956, 0.01336862612515688, 0.7994000911712646, 0.04634673930459862
5110047, 20, 0.060104191303253174, 0.020080504938960075, 0.7898922562599182, 0.05151418041980452
5110047, 21, 0.07449302822351456, 0.02938847616314888, 0.7365657091140747, 0.05015221919564172
5110047, 22, 0.06713812053203583, 0.023652398958802223, 0.7474308013916016, 0.051874699567377024
5110047, 23, 0.061125852167606354, 0.02086733840405941, 0.7701051831245422, 0.052155103348822306
5110047, 24, 0.05508686974644661, 0.017342353239655495, 0.7923052906990051, 0.054077872135875664
5110047, 25, 0.05834241956472397, 0.01960696280002594, 0.7788153290748596, 0.049150777119051435
5110047, 26, 0.05609509348869324, 0.018086586147546768, 0.7855406999588013, 0.05764300592853709
5110047, 27, 0.06618435680866241, 0.023537779226899147, 0.7671717405319214, 0.054558564332639004
5110047, 28, 0.05954539403319359, 0.019769206643104553, 0.7738147377967834, 0.05624098702131069
5110047, 29, 0.05210958793759346, 0.015351471491158009, 0.7944705486297607, 0.05984617849703573
5110047, 30, 0.052665095776319504, 0.015786519274115562, 0.8050832748413086, 0.058724563371254604
4954663, 1, 0.03466179594397545, 0.008056920021772385, 0.8193637728691101, 0.05183464188431341
4954663, 2, 0.035066891461610794, 0.008181069046258926, 0.8177870512008667, 0.0517945842012498
4954663, 3, 0.0377410426735878, 0.009299824014306068, 0.8138048052787781, 0.05067296907546868
4954663, 4, 0.041755057871341705, 0.010835618712008, 0.8086804747581482, 0.051874699567377024
4954663, 5, 0.04518566280603409, 0.012670560739934444, 0.8087397217750549, 0.05604069860599263
4954663, 6, 0.043843481689691544, 0.012306233868002892, 0.8052904009819031, 0.05355712225604871
4954663, 7, 0.0377715602517128, 0.00918184407055378, 0.8149471282958984, 0.04858996955616087
4954663, 8, 0.03916234150528908, 0.009639007039368153, 0.8074783682823181, 0.05235539176414036
4954663, 9, 0.04643760621547699, 0.013403763994574547, 0.7906969785690308, 0.05203493029963147
4954663, 10, 0.05026626959443092, 0.014884617179632187, 0.784808874130249, 0.05668162153501041
4954663, 11, 0.04685058072209358, 0.012893562205135822, 0.7873043417930603, 0.05035250761095978
4954663, 12, 0.04945995286107063, 0.014133553951978683, 0.7837019562721252, 0.0511136035891684
4954663, 13, 0.055415913462638855, 0.016935311257839203, 0.7865572571754456, 0.05323666079153982
4954663, 14, 0.04974443465471268, 0.014033905230462551, 0.799254834651947, 0.050112161512578114
4954663, 15, 0.05402921885251999, 0.01708490401506424, 0.7873508930206299, 0.049711584681942
4954663, 16, 0.05924689397215843, 0.020200254395604134, 0.7695232629776001, 0.04967152699887838
4954663, 17, 0.049905162304639816, 0.014514247886836529, 0.7905093431472778, 0.04678737381829835
4954663, 18, 0.04796038940548897, 0.01342526264488697, 0.8054547309875488, 0.045986220157026116
4954663, 19, 0.04791709780693054, 0.013159234076738358, 0.8051250576972961, 0.0431821823425733
4954663, 20, 0.045069243758916855, 0.012019818648695946, 0.8142676949501038, 0.04330235539176414
4954663, 21, 0.047031354159116745, 0.012947555631399155, 0.8076131939888, 0.04546547027719917
4954663, 22, 0.04416486620903015, 0.011396809481084347, 0.8052334189414978, 0.049471238583560326
4954663, 23, 0.04830456152558327, 0.013395030051469803, 0.8060323596000671, 0.05279602627784009
4954663, 24, 0.04652835428714752, 0.012005675584077835, 0.8077717423439026, 0.047107835282807244
4954663, 25, 0.047675371170043945, 0.013324160128831863, 0.8039814233779907, 0.05371735298830316
4954663, 26, 0.04565125331282616, 0.011485414579510689, 0.8080771565437317, 0.053757410671366766
4954663, 27, 0.0435684509575367, 0.010417839512228966, 0.8066585659980774, 0.05191475725044063
4954663, 28, 0.041363850235939026, 0.009774761274456978, 0.8058714866638184, 0.048990546386796986
4954663, 29, 0.04049535468220711, 0.009501551277935505, 0.8061502575874329, 0.053156545425412594
4954663, 30, 0.03838540241122246, 0.00839446671307087, 0.8134969472885132, 0.04714789296587085
4899760, 1, 0.0427892729640007, 0.010623335838317871, 0.7948944568634033, 0.04554558564332639
