Case_ID, Slide_ID, mae, mse, ssim, anomaly
FCB159, 1, 0.07704143226146698, 0.024277344346046448, 0.7394979000091553, 0.0022380094991018193
FCB159, 2, 0.0766453668475151, 0.02303866297006607, 0.7402984499931335, 0.0026476626298473096
FCB159, 3, 0.07889257371425629, 0.023366088047623634, 0.737528383731842, 0.004121833896833779
FCB159, 4, 0.07933846861124039, 0.023125378414988518, 0.7339456081390381, 0.0020071205371547016
FCB159, 5, 0.08087867498397827, 0.024032732471823692, 0.7374627590179443, 0.0019314379217498336
FCB159, 6, 0.080257847905159, 0.023767288774251938, 0.7376861572265625, 0.001821339598902452
FCB159, 7, 0.07650648802518845, 0.021666549146175385, 0.7376068234443665, 0.0008981092702088171
FCB159, 8, 0.07245082408189774, 0.019774125888943672, 0.7437548041343689, 0.0023309603787595124
FCB159, 9, 0.07053589075803757, 0.01918693073093891, 0.7446351647377014, 0.004855944802925612
FCB159, 10, 0.07298250496387482, 0.02028685249388218, 0.7426413893699646, 0.005636960272094681
FCB159, 11, 0.07418511062860489, 0.021053874865174294, 0.733589768409729, 0.00837323369804372
FCB159, 12, 0.07399681210517883, 0.021095890551805496, 0.7319276332855225, 0.01254340878825152
FCB159, 13, 0.07606177777051926, 0.022322550415992737, 0.7297835350036621, 0.00590255375627055
FCB159, 14, 0.07294019311666489, 0.020931024104356766, 0.7358505129814148, 0.006333672450174915
FCB159, 15, 0.07394379377365112, 0.02121882699429989, 0.7384299635887146, 0.00911618302730582
FCB159, 16, 0.07445428520441055, 0.021421847864985466, 0.7349916100502014, 0.007353500906335227
FCB159, 17, 0.07607326656579971, 0.022486818954348564, 0.7314264178276062, 0.0074067088719804676
FCB159, 18, 0.07830043137073517, 0.02391858585178852, 0.7267178893089294, 0.005578360679522561
FCB159, 19, 0.08028226345777512, 0.02499309368431568, 0.7211542725563049, 0.007498710132024792
FCB159, 20, 0.08454113453626633, 0.02724592387676239, 0.7194134593009949, 0.007042340087853721
FCB159, 21, 0.08901690691709518, 0.03008982725441456, 0.7260646224021912, 0.005113777798623335
FCB159, 22, 0.09232194721698761, 0.032575786113739014, 0.7231342792510986, 0.007145387381799405
FCB159, 23, 0.08724824339151382, 0.030129024758934975, 0.7272399067878723, 0.0070748312681597906
FCB159, 24, 0.08575840294361115, 0.029559722170233727, 0.7264726758003235, 0.00684143341813902
FCB159, 25, 0.08548416197299957, 0.029355626553297043, 0.7316453456878662, 0.005792114184089555
FCB159, 26, 0.08287914097309113, 0.028004972264170647, 0.7276824712753296, 0.005826530684964957
FCB159, 27, 0.07934653759002686, 0.02647203952074051, 0.7284122109413147, 0.003535209659533322
FCB159, 28, 0.07595705986022949, 0.024949075654149055, 0.7329831123352051, 0.00396369502911195
FCB159, 29, 0.06984610110521317, 0.022237146273255348, 0.7409326434135437, 0.005066859481361938
FCB159, 30, 0.06269773840904236, 0.019661299884319305, 0.7455083131790161, 0.006447978224567354
FCB038, 1, 0.140455424785614, 0.06343277543783188, 0.6779094338417053, 0.005126469512443303
FCB038, 2, 0.14230699837207794, 0.0639646127820015, 0.6758713126182556, 0.004688420441366551
FCB038, 3, 0.1444501429796219, 0.06495805829763412, 0.6790112853050232, 0.0034704278783294373
FCB038, 4, 0.14756223559379578, 0.06728452444076538, 0.6781033873558044, 0.004068890466246914
FCB038, 5, 0.14825066924095154, 0.06769897788763046, 0.6805601119995117, 0.005699245355491012
FCB038, 6, 0.1452270895242691, 0.06504350900650024, 0.6853878498077393, 0.006408662703076088
FCB038, 7, 0.14136305451393127, 0.06147291138768196, 0.693265974521637, 0.008324574297262114
FCB038, 8, 0.142406165599823, 0.06178433075547218, 0.6929071545600891, 0.006825651102579018
FCB038, 9, 0.14184434711933136, 0.061446335166692734, 0.6850970983505249, 0.006627446291405752
FCB038, 10, 0.14139635860919952, 0.0612972117960453, 0.6852719187736511, 0.009304117417793878
FCB038, 11, 0.1427002102136612, 0.062309667468070984, 0.682776153087616, 0.008591573019049179
FCB038, 12, 0.14008629322052002, 0.06010400876402855, 0.6840811371803284, 0.005165165013121747
FCB038, 13, 0.1385919153690338, 0.05890341103076935, 0.6872811913490295, 0.006839249032232001
FCB038, 14, 0.137942835688591, 0.05837172269821167, 0.689521312713623, 0.005638980571072751
FCB038, 15, 0.13486406207084656, 0.05615245923399925, 0.6947786808013916, 0.003524775041874487
FCB038, 16, 0.13629256188869476, 0.057265136390924454, 0.6929417252540588, 0.0035761594832403746
FCB038, 17, 0.13833220303058624, 0.059391193091869354, 0.6922255158424377, 0.004889042218918179
FCB038, 18, 0.1387186050415039, 0.060453835874795914, 0.6936905980110168, 0.005521990033848418
FCB038, 19, 0.13917917013168335, 0.06147801876068115, 0.6925445795059204, 0.005565917701041861
FCB038, 20, 0.13738636672496796, 0.06046304851770401, 0.6944913864135742, 0.00535759360221638
FCB038, 21, 0.13235129415988922, 0.057236120104789734, 0.7023147940635681, 0.008910144296419361
FCB038, 22, 0.12841250002384186, 0.05472606420516968, 0.7076667547225952, 0.0073952853043401205
FCB038, 23, 0.12881353497505188, 0.055700480937957764, 0.7092720866203308, 0.007000527605699238
