Case_ID, Slide_ID, mae, mse, ssim, anomaly
FCB159, 1, 0.03732249140739441, 0.008784128352999687, 0.7963572144508362, 4.129110854302184e-05
FCB159, 2, 0.037476226687431335, 0.008428097702562809, 0.8078828454017639, 0.0
FCB159, 3, 0.03692727908492088, 0.008325016126036644, 0.808091938495636, 0.0007711477551890653
FCB159, 4, 0.03529956936836243, 0.0076156798750162125, 0.8147980570793152, 0.0004725240063363508
FCB159, 5, 0.036083951592445374, 0.00747667346149683, 0.8134772181510925, 1.777095177379092e-10
FCB159, 6, 0.03517170995473862, 0.007043714635074139, 0.8193382620811462, 3.677707410035282e-05
FCB159, 7, 0.03342241048812866, 0.006748006213456392, 0.8204565644264221, 0.0007780499769861487
FCB159, 8, 0.03375411778688431, 0.006887771189212799, 0.8209693431854248, 0.0001465306059747106
FCB159, 9, 0.035683028399944305, 0.007941387593746185, 0.8061985373497009, 0.0023509465075676654
FCB159, 10, 0.03403841704130173, 0.00720917247235775, 0.8125030398368835, 0.0026797389882070996
FCB159, 11, 0.03248848766088486, 0.006386310327798128, 0.8163946866989136, 0.0
FCB159, 12, 0.033429548144340515, 0.006870729848742485, 0.8128553032875061, 0.0
FCB159, 13, 0.04147132858633995, 0.010817485861480236, 0.8011006116867065, 0.00548445637871421
FCB159, 14, 0.04953506961464882, 0.015482446178793907, 0.7728784680366516, 0.007735747304955657
FCB159, 15, 0.05265313386917114, 0.016795476898550987, 0.7731212377548218, 0.007992493943016455
FCB159, 16, 0.053760550916194916, 0.0171005018055439, 0.7861009240150452, 0.006580421842645985
FCB159, 17, 0.05604732781648636, 0.018404072150588036, 0.7824984788894653, 0.0017976817005835712
FCB159, 18, 0.04525597020983696, 0.012531837448477745, 0.8140107989311218, 0.0013146562273248384
FCB159, 19, 0.04398943856358528, 0.011788088828325272, 0.811676561832428, 0.00019799667524163884
FCB159, 20, 0.046989817172288895, 0.012905239127576351, 0.7908417582511902, 3.5588223118577256e-05
FCB159, 21, 0.04318805783987045, 0.011441021226346493, 0.7919698357582092, 0.0005718991731019609
FCB159, 22, 0.036859773099422455, 0.008430100046098232, 0.8088302612304688, 0.0007712185032465511
FCB159, 23, 0.03905067220330238, 0.009245181456208229, 0.8083792328834534, 0.0007296528865986684
FCB159, 24, 0.04607278108596802, 0.013122966513037682, 0.7777355909347534, 0.003673978224267705
FCB159, 25, 0.046416059136390686, 0.012792719528079033, 0.7921388149261475, 0.006335266351831623
FCB159, 26, 0.04128989577293396, 0.010052265599370003, 0.8040751218795776, 0.006867186421982123
FCB159, 27, 0.04022858291864395, 0.008835403248667717, 0.8000105023384094, 0.0016993049198163023
FCB159, 28, 0.04276953265070915, 0.009208394214510918, 0.8039395213127136, 2.298361576243226e-05
FCB159, 29, 0.044390518218278885, 0.009672131389379501, 0.801129937171936, 0.0
FCB159, 30, 0.04697687551379204, 0.011108260601758957, 0.8025808334350586, 0.00047352144717747633
FCB038, 1, 0.04545607045292854, 0.010438627563416958, 0.8526845574378967, 0.0
FCB038, 2, 0.04945632070302963, 0.01190536841750145, 0.8446798920631409, 1.5019621378881856e-09
